epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,172.007,0.66969,1.09757,1.02104,0.84087,0.48889,0.57211,0.37357,1.55116,1.706,1.74537,0.000169908,0.000169908,0.000169908
91,193.428,0.72513,0.99433,1.07311,0.84591,0.48889,0.59252,0.40929,1.53288,1.669,1.72684,0.000155761,0.000155761,0.000155761
92,195.348,0.51564,1.39077,0.85652,0.68173,0.65265,0.65746,0.46148,1.48464,1.61614,1.67417,0.000141614,0.000141614,0.000141614
93,197.197,0.78128,1.16724,1.19655,0.91068,0.48232,0.67893,0.48819,1.43945,1.54768,1.65311,0.000127467,0.000127467,0.000127467
94,198.975,0.69463,1.23218,1.12748,0.63326,0.71068,0.69369,0.48452,1.46476,1.5843,1.68732,0.00011332,0.00011332,0.00011332
95,200.728,0.5604,0.8827,0.9777,0.67101,0.7186,0.6956,0.47303,1.42629,1.56156,1.66345,9.91726e-05,9.91726e-05,9.91726e-05
96,202.508,0.622,0.83054,1.06611,0.76442,0.62222,0.70767,0.47967,1.43601,1.57454,1.66693,8.50255e-05,8.50255e-05,8.50255e-05
97,204.253,0.65918,0.92865,1.05232,0.76128,0.69204,0.72333,0.48916,1.40058,1.48281,1.65568,7.08784e-05,7.08784e-05,7.08784e-05
98,206.002,0.52156,1.16451,0.90536,0.79005,0.71844,0.72333,0.48941,1.40134,1.45686,1.68408,5.67313e-05,5.67313e-05,5.67313e-05
99,207.728,0.6495,1.08831,1.0865,0.83987,0.72541,0.73286,0.48302,1.41268,1.46183,1.71111,4.25842e-05,4.25842e-05,4.25842e-05
100,209.582,0.64295,0.86809,1.03341,0.7488,0.71409,0.72067,0.49252,1.40089,1.47064,1.68774,2.84371e-05,2.84371e-05,2.84371e-05
